date_posted,review_count
2018-01-01,12
2018-01-02,31
2018-01-03,27
2018-01-04,22
2018-01-05,26
2018-01-06,12
2018-01-07,27
2018-01-08,33
2018-01-09,31
2018-01-10,60
2018-01-11,35
2018-01-12,22
2018-01-13,20
2018-01-14,23
2018-01-15,43
2018-01-16,31
2018-01-17,32
2018-01-18,36
2018-01-19,26
2018-01-20,19
2018-01-21,17
2018-01-22,23
2018-01-23,22
2018-01-24,28
2018-01-25,29
2018-01-26,45
2018-01-27,17
2018-01-28,24
2018-01-29,41
2018-01-30,33
2018-01-31,37
2018-02-01,32
2018-02-02,18
2018-02-03,21
2018-02-04,17
2018-02-05,19
2018-02-06,25
2018-02-07,21
2018-02-08,33
2018-02-09,22
2018-02-10,26
2018-02-11,27
2018-02-12,29
2018-02-13,37
2018-02-14,30
2018-02-15,40
2018-02-16,26
2018-02-17,13
2018-02-18,28
2018-02-19,37
2018-02-20,29
2018-02-21,40
2018-02-22,42
2018-02-23,24
2018-02-24,23
2018-02-25,29
2018-02-26,28
2018-02-27,37
2018-02-28,30
2018-03-01,41
2018-03-02,34
2018-03-03,19
2018-03-04,31
2018-03-05,45
2018-03-06,37
2018-03-07,33
2018-03-08,35
2018-03-09,36
2018-03-10,25
2018-03-11,26
2018-03-12,46
2018-03-13,32
2018-03-14,29
2018-03-15,30
2018-03-16,46
2018-03-17,18
2018-03-18,27
2018-03-19,49
2018-03-20,45
2018-03-21,45
2018-03-22,43
2018-03-23,39
2018-03-24,32
2018-03-25,32
2018-03-26,39
2018-03-27,39
2018-03-28,45
2018-03-29,35
2018-03-30,27
2018-03-31,21
2018-04-01,32
2018-04-02,39
2018-04-03,43
2018-04-04,34
2018-04-05,41
2018-04-06,34
2018-04-07,24
2018-04-08,31
2018-04-09,34
2018-04-10,48
2018-04-11,46
2018-04-12,45
2018-04-13,45
2018-04-14,31
2018-04-15,29
2018-04-16,36
2018-04-17,32
2018-04-18,34
2018-04-19,48
2018-04-20,34
2018-04-21,27
2018-04-22,30
2018-04-23,38
2018-04-24,37
2018-04-25,41
2018-04-26,32
2018-04-27,40
2018-04-28,26
2018-04-29,43
2018-04-30,31
2018-05-01,30
2018-05-02,39
2018-05-03,37
2018-05-04,40
2018-05-05,19
2018-05-06,34
2018-05-07,35
2018-05-08,41
2018-05-09,34
2018-05-10,42
2018-05-11,31
2018-05-12,23
2018-05-13,19
2018-05-14,32
2018-05-15,43
2018-05-16,40
2018-05-17,37
2018-05-18,37
2018-05-19,24
2018-05-20,25
2018-05-21,45
2018-05-22,40
2018-05-23,48
2018-05-24,35
2018-05-25,45
2018-05-26,25
2018-05-27,31
2018-05-28,28
2018-05-29,39
2018-05-30,42
2018-05-31,51
2018-06-01,55
2018-06-02,38
2018-06-03,39
2018-06-04,48
2018-06-05,47
2018-06-06,49
2018-06-07,56
2018-06-08,41
2018-06-09,38
2018-06-10,40
2018-06-11,60
2018-06-12,41
2018-06-13,60
2018-06-14,72
2018-06-15,65
2018-06-16,47
2018-06-17,37
2018-06-18,51
2018-06-19,59
2018-06-20,58
2018-06-21,55
2018-06-22,46
2018-06-23,35
2018-06-24,43
2018-06-25,64
2018-06-26,59
2018-06-27,58
2018-06-28,55
2018-06-29,29
2018-06-30,46
2018-07-01,38
2018-07-02,56
2018-07-03,53
2018-07-04,35
2018-07-05,44
2018-07-06,42
2018-07-07,48
2018-07-08,40
2018-07-09,45
2018-07-10,60
2018-07-11,54
2018-07-12,41
2018-07-13,43
2018-07-14,37
2018-07-15,33
2018-07-16,42
2018-07-17,39
2018-07-18,62
2018-07-19,47
2018-07-20,35
2018-07-21,33
2018-07-22,35
2018-07-23,39
2018-07-24,38
2018-07-25,44
2018-07-26,38
2018-07-27,30
2018-07-28,43
